interval_no,record_type,scale_no,interval_name,abbrev,type,parent_no,color,t_age,b_age,reference_no
417,int,161,Dasberg,,age,,,358.9,372.2,5954
418,int,161,Hemberg,,age,,,358.9,372.2,5954
419,int,161,Nehden,,age,,,358.9,372.2,5954
420,int,161,Adorf,,age,,,372.2,382.7,5954
179,int,161,Givetian,,age,,,382.7,387.7,
180,int,161,Eifelian,,age,,,387.7,393.3,
181,int,161,Emsian,,age,,,393.3,407.6,
424,int,161,Siegen,,age,,,407.6,410.8,5954
415,int,161,Gedinnine,,age,,,410.8,419.2,
426,int,162,Srbsko,,age,,,382.7,387.7,5954
427,int,162,Chotec,,age,,,387.7,393.3,5954
428,int,162,Daleje,,age,,,393.3,407.6,5954
429,int,162,Zlichovian,,age,,,393.3,407.6,5954
182,int,162,Pragian,,age,,,407.6,410.8,
183,int,162,Lochkovian,,age,,,410.8,419.2,
432,int,167,Conewangan,,age,,,358.9,372.2,15443
433,int,167,Conneautan,,age,,,358.9,372.2,15443
434,int,167,Canadaway,,age,,,358.9,372.2,15443
435,int,167,West Fallsian,,age,,,372.2,382.7,15443
436,int,167,Sonyean,,age,,,372.2,382.7,15443
437,int,167,Geneseean,,age,,,382.7,387.7,5954
438,int,167,Taghanican,,age,,,382.7,387.7,5954
439,int,167,Tioughniogan,,age,,,382.7,387.7,5954
440,int,167,Cazenovian,,age,,,382.7,393.3,5954
441,int,167,Southwoodian,,age,,,387.7,393.3,5954
442,int,167,Sawkillian,,age,,,393.3,407.6,5954
443,int,167,Deer Parkian,,age,,,393.3,407.6,5954
444,int,167,Helderbergian,,age,,,393.3,419.2,5954
839,int,170,Ohesaare,,age,,,419.2,421.7,87642
840,int,170,Kaugetuma,,age,,,421.7,423,87642
841,int,170,Kuressaare,,age,,,423,423.4,87642
842,int,170,Paadla,,age,,,423.4,427.4,87642
843,int,170,Rootsikula,,age,,,427.4,429.2,87642
844,int,170,Jaagarahu,,age,,,429.2,431.8,87642
845,int,170,Jaani,,age,,,431.8,434,87642
846,int,170,Adavere,,age,,,434,439.4,87642
847,int,170,Raikkula,,age,,,439.4,441.4,87642
848,int,170,Juuru,,age,,,441.4,443.8,87642
186,int,171,Gleedonian,,age,,,427.4,429.7,5954
187,int,171,Whitwellian,,age,,,429.7,430.5,5954
367,int,172,Red Downtonian,,age,,,419.2,423,5954
368,int,172,Temeside Shales,,age,,,419.2,423,5954
369,int,172,Downton Castle,,age,,,419.2,423,5954
370,int,172,Whitcliffe,,age,,,419.2,421.3,5954
371,int,172,Leintwardine,,age,,,419.2,421.3,5954
372,int,172,Bringewood,,age,,,421.3,423,5954
373,int,172,Elton,,age,,,421.3,423,5954
376,int,172,Coalbrookdale,,age,,,423,428.4,5954
374,int,172,Wenlock (England),,age,,,423,425.6,5954
375,int,172,Tickwood,,age,,,423,425.6,5954
377,int,172,Buildwas,,age,,,426.4,428.4,5954
379,int,172,Wych,,age,,,428.4,439.3,5954
378,int,172,Woolhope,,age,,,428.4,436.3,5954
380,int,172,Cowleigh Park,,age,,,439.3,443.8,5954
394,int,175,Cayugan,,age,,,419.2,422.5,15443
1090,int,175,Niagaran,,age,,,422.5,440.1,15443
395,int,175,Lockportian,,age,,,427.4,430.5,15443
397,int,175,Ontarian,,age,,,433.4,440.1,15443
398,int,175,Alexandrian,,age,,,438.7,443.8,15443
1094,int,175,Medinan,,age,,,440.1,443.8,15443
1093,int,175,Clinton,,age,,,440.1,440.7,15443
63,int,178,Ashgill,,epoch,,,443.8,449.6,87642
192,int,178,Hirnantian,,age,,,443.8,445.2,87642
193,int,178,Rawtheyan,,age,,,445.2,448.9,87642
194,int,178,Cautleyan,,age,,,448.9,449.3,87642
195,int,178,Pusgillian,,age,,,449.3,449.6,87642
64,int,178,Caradoc,,epoch,,,449.6,458.4,87642
577,int,178,Streffordian,,age,,,449.6,451.5,87642
578,int,178,Cheneyan,,age,,,451.5,452.7,87642
579,int,178,Burrellian,,age,,,452.7,456.8,87642
580,int,178,Aurelucian,,age,,,456.8,458.4,87642
196,int,178,Onnian,,age,,,449.6,453.2,5954
197,int,178,Actonian,,age,,,453.2,454.2,5954
198,int,178,Marshbrookian,,age,,,454.2,455.2,5954
199,int,178,Longvillian,,age,,,455.2,457.4,5954
588,int,178,Woolstonian,,age,,,454.2,457.4,8960
200,int,178,Soudleyan,,age,,,457.4,458.4,5954
201,int,178,Harnagian,,age,,,457.4,458.4,5954
202,int,178,Costonian,,age,,,457.4,458.4,5954
66,int,178,Llanvirn,,epoch,,,458.4,468.4,87642
581,int,178,Llandeilian,,age,,,458.4,461.3,87642
65,int,178,Llandeilo,,age,,,458.4,461.3,87642
203,int,178,Late Llandeilo,,age,,,458.4,461.3,87642
204,int,178,Middle Llandeilo,,age,,,458.4,461.3,87642
205,int,178,Early Llandeilo,,age,,,458.4,461.3,87642
206,int,178,Late Llanvirn,,age,,,458.4,461.3,87642
582,int,178,Abereiddian,,age,,,461.3,468.4,87642
207,int,178,Early Llanvirn,,age,,,461.3,468.4,87642
67,int,178,Arenig,,epoch,,,468.4,477.7,87642
583,int,178,Fennian,,age,,,468.4,471.1,87642
584,int,178,Whitlandian,,age,,,471.1,474.3,87642
585,int,178,Moridunian,,age,,,474.3,477.7,87642
68,int,178,Tremadoc,,epoch,,,477.7,485,87642
586,int,178,Migneintian,,age,,,477.7,480.8,87642
587,int,178,Cressagian,,age,,,480.8,485,87642
574,int,180,Harju,,epoch,,,443.8,450.6,87642
336,int,180,Porkuni,,age,,,443.8,445.2,87642
337,int,180,Pirgu,,age,,,445.2,449.6,87642
338,int,180,Vormsi,,age,,,449.6,450,87642
339,int,180,Nabala,,age,,,450,450.6,87642
575,int,180,Viru,,epoch,,,450.6,462.9,87642
340,int,180,Rakvere,,age,,,450.6,452,87642
341,int,180,Oandu,,age,,,452,453,87642
342,int,180,Keila,,age,,,453,453.9,87642
627,int,180,Haljala,,age,,,453.9,456.4,87642
345,int,180,Kukruse,,age,,,456.4,457.5,87642
346,int,180,Uhaku,,age,,,457.5,458.9,87642
347,int,180,Lasnamagi,,age,,,458.9,460.4,87642
348,int,180,Aseri,,age,,,460.4,462.9,87642
576,int,180,Oeland,,epoch,,,462.9,486.5,87642
349,int,180,Kunda,,age,,,462.9,467.1,87642
350,int,180,Volkhov,,age,,,467.1,469.3,87642
636,int,180,Billingen,,age,,,469.3,473.7,87642
637,int,180,Hunneberg,,age,,,473.7,481.3,87642
628,int,180,Varangu,,age,,,481.3,482.2,87642
629,int,180,Pakerort,,age,,,482.2,486.3,87642
343,int,180,Johvi,,age,,,450,453,5954
344,int,180,Idavere,,age,,,453,457.5,5954
630,int,180,Aluoja,,age,,,457.5,464.3,8960
631,int,180,Valaste,,age,,,464.3,470.1,8960
632,int,180,Hunderum,,age,,,464.3,470.1,8960
633,int,180,Langevoja,,age,,,467.1,470.1,8960
634,int,180,Vaana,,age,,,467.1,470.1,8960
635,int,180,Saka,,age,,,467.1,470.1,8960
351,int,180,Latorp,,age,,,470.1,485.4,5954
592,int,182,Kosovian,,age,,,443.8,445.2,87642
593,int,182,Kralodvorian,,age,,,445.2,449.7,87642
594,int,182,Berounian,,age,,,449.7,458.5,87642
590,int,182,Dobrotivian,,age,,,458.5,459.7,87642
591,int,182,Oretanian,,age,,,459.7,468,87642
596,int,182,Arenigian,,age,,,468,477.7,87642
559,int,182,Tremadocian,,age,,,477.7,485.4,87642
328,int,182,Bohdalec,,age,,,445.2,458,5954
329,int,182,Zahorany,,age,,,456.2,458,5954
330,int,182,Vinice,,age,,,456.2,458,5954
331,int,182,Letna,,age,,,456.2,461.7,5954
332,int,182,Liben,,age,,,458,461.7,5954
334,int,182,Sarka,,age,,,461.7,467.3,5954
335,int,182,Klabava,,age,,,467.3,477.7,5954
597,int,185,Bolindian,,age,,,443.8,449,87642
598,int,185,Eastonian,,age,,,449,452,87642
599,int,185,Gisbornian,,age,,,452,458.4,87642
556,int,185,Darriwilian,,age,,,458.4,467.3,87642
600,int,185,Yapeenian,,age,,,467.3,468.5,87642
601,int,185,Castlemainian,,age,,,468.5,470,87642
602,int,185,Chewtonian,,age,,,470,471.8,87642
603,int,185,Bendigonian,,age,,,471.8,473.5,87642
604,int,185,Lancefieldian,,age,,,473.5,482.8,87642
605,int,185,Warendian,,age,,,482.8,485.4,87642
192,int,186,Hirnantian,,age,,,443.8,445.2,87642
621,int,186,Chientangkiangian,,age,,,445.2,449.5,87642
622,int,186,Neichianshanian,,age,,,449.5,458.4,87642
556,int,186,Darriwilian,,age,,,458.4,467.3,87642
1079,int,186,Dapingian,,age,,,467.3,470,87642
624,int,186,Yiyangian,,age,,,470,477.7,87642
625,int,186,Xinchangian,,age,,,477.7,485.4,87642
611,int,186,Xiaoxita,,age,,,443.8,458.4,8960
616,int,186,Shikou,,age,,,443.8,458.4,8960
610,int,186,Wufeng,,age,,,443.8,449.5,8960
617,int,186,Hanjiang,,age,,,449.5,458.4,8960
612,int,186,Guniu,,age,,,458.4,466.3,8960
618,int,186,Hulo,,age,,,458.4,466.3,8960
620,int,186,Hunjiang,,age,,,466.3,485.4,8960
613,int,186,Dawan,,age,,,466.3,477.9,8960
614,int,186,Daobaowan,,age,,,466.3,477.9,8960
619,int,186,Ningkuo,,age,,,466.3,477.9,8960
615,int,186,Lianghekou,,age,,,477.9,485.4,8960
560,int,188,Cincinnatian,,epoch,,,443.8,451.1,87642
564,int,188,Gamachian,,age,,,443.8,446,87642
565,int,188,Richmondian,,age,,,446,449.8,87642
566,int,188,Maysvillian,,age,,,449.8,450.4,87642
356,int,188,Edenian,,age,,,450.4,451.1,87642
561,int,188,Mohawkian,,epoch,,,451.1,457,87642
567,int,188,Chatfieldian,,age,,,451.1,453.7,87642
568,int,188,Turinian,,age,,,453.7,457,87642
562,int,188,Whiterockian,,epoch,,,457,470,87642
569,int,188,Rangerian,,age,,,469.1,470,87642
563,int,188,Ibexian,,epoch,,,470,487.5,87642
570,int,188,Blackhillsian,,age,,,470,473.9,87642
571,int,188,Tulean,,age,,,473.9,480.3,87642
572,int,188,Stairsian,,age,,,480.3,482,87642
573,int,188,Skullrockian,,age,,,482,487.5,87642
644,int,188,Rocklandian,,age,,,449.8,457,9006
646,int,188,Shermanian,,age,,,449.8,457,9006
558,int,188,Ashbyan,,age,,,449.8,457,9006
643,int,188,Kirkfieldian,,age,,,449.8,457,9006
647,int,188,Blackriveran,,age,,,449.8,457,9006
557,int,188,Wildernessian,,age,,,449.8,457,9006
554,int,188,Trentonian,,age,,,449.8,457,9006
642,int,188,Franklinian,,age,,,449.8,457,9006
645,int,188,Canadian,,age,,,457,485.4,9006
648,int,188,Chazyan,,age,,,457,470,9006
649,int,188,Marmor,,age,,,457,470,9006
650,int,188,Jeffersonian,,age,,,470,485.4,9006
363,int,188,Cassinian,,age,,,470,482,5954
651,int,188,Demingian,,age,,,482,485.4,9006
366,int,188,Gasconadian,,age,,,477.7,485.4,5954
1085,int,190,Niuchehean,,age,,,485.4,489.5,87642
1113,int,190,Jiangshanian,,age,,,489.5,494,87642
1086,int,190,Paibian,,age,,,494,497,87642
1087,int,190,Guzhangian,,age,,,497,500.5,87642
1116,int,190,Drumian,,age,,,500.5,504.5,87642
1205,int,190,Wuliuan,,age,,,504.5,509,87642
815,int,190,Duyunian,,age,,,509,514,87642
816,int,190,Nangaoian,,age,,,514,521,87642
817,int,190,Meishucunian,,age,,,521,530.7,87642
818,int,190,Jinnigian,,age,,,530.7,538.8,87642
810,int,190,Taoyuanian,,age,,,485.4,494.9,15443
811,int,190,Waergangian,,age,,,494.9,497,15443
812,int,190,Youshuanian,,age,,,494.9,497,15443
813,int,190,Wangcunian,,age,,,497,504.5,15443
814,int,190,Taijangian,,age,,,504.5,509,15443
800,int,192,Datsonian,,age,,,485.4,486.8,87642
801,int,192,Payntonian,,age,,,486.8,489.5,87642
802,int,192,Iverian,,age,,,489.5,494,87642
803,int,192,Idamean,,age,,,494,497,87642
804,int,192,Mindyallan,,age,,,497,499,87642
805,int,192,Boomerangian,,age,,,499,500.5,87642
806,int,192,Undillan,,age,,,500.5,503,87642
807,int,192,Floran,,age,,,503,504.5,87642
808,int,192,Templetonian,,age,,,504.5,507.8,87642
809,int,192,Ordian,,age,,,507.8,510.8,87642
829,int,194,Batyrbaian,,age,,,485.4,490.7,87642
830,int,194,Aksaian,,age,,,490.7,492.2,87642
831,int,194,Sakian,,age,,,492.2,497,87642
832,int,194,Ayusokkanian,,age,,,497,499.5,87642
797,int,194,Mayan,,age,,,499.5,504.5,87642
210,int,194,Menevian,,age,,,499.5,504.5,5954
798,int,194,Amgan,,age,,,504.5,510,87642
211,int,194,Solvan,,age,,,504.5,510,5954
749,int,194,Toyonian,,age,,,510,512.5,87642
750,int,194,Botomian,,age,,,512.5,515.6,87642
212,int,194,Lenian,,age,,,510,515.6,5954
213,int,194,Atdabanian,,age,,,515.6,521,87642
214,int,194,Tommotian,,age,,,521,525.5,87642
799,int,194,Nemakit-Daldynian,,age,,,525.5,538.8,87642
748,int,194,Manykaian,,,,,529,538.8,10010
790,int,194,Mansian,,age,,,483.55,485.4,15443
795,int,194,Tavgian,,age,,,485.4,497,15443
791,int,194,Ketyan,,age,,,485.4,494.7,15443
792,int,194,Yurakian,,age,,,485.4,494.7,15443
793,int,194,Ensyan,,age,,,494.7,497,15443
794,int,194,Maduan,,age,,,494.7,497,15443
796,int,194,Nganasanian,,age,,,494.7,497,15443
828,int,195,Ungurian,,age,,,477.7,485.4,87642
829,int,195,Batyrbaian,,age,,,485.4,490.7,87642
830,int,195,Aksaian,,age,,,490.7,492.2,87642
831,int,195,Sakian,,age,,,492.2,497,87642
832,int,195,Ayusokkanian,,age,,,497,499.5,87642
833,int,195,Zhanaarykian,,age,,,500.5,503,87642
834,int,195,Tuesaian,,age,,,503,505.3,87642
749,int,195,Toyonian,,age,,,510,512.5,87642
750,int,195,Botomian,,age,,,512.5,515.6,87642
213,int,195,Atdabanian,,age,,,515.6,521,87642
214,int,195,Tommotian,,age,,,521,525.5,87642
822,int,196,Sunwaptan,,age,,,487.5,493,87642
823,int,196,Steptoean,,age,,,493,497,87642
824,int,196,Marjumian,,age,,,497,504.5,87642
1209,int,196,Topazan,,age,,,504.5,506.5,87642
825,int,196,Delamaran,,age,,,506.5,511,87642
826,int,196,Dyeran,,age,,,511,514.8,87642
827,int,196,Montezuman,,age,,,514.8,519.9,87642
821,int,196,Begadean,,age,,,519.9,538.8,87642
322,int,196,Franconian,,age,,,485.4,497,5954
323,int,196,Dresbachian,,age,,,485.4,497,5954
819,int,196,Millardan,,age,,,485.4,497,15443
324,int,196,Albertian,,age,,,497,509,5954
325,int,196,Waucoban,,age,,,509,538.8,5954
836,int,197,Arcadian,,age,,,498.4,509,87642
837,int,197,Branchian,,age,,,509,517.1,87642
838,int,197,Placentian,,age,,,517.1,538.8,87642
69,int,198,Merioneth,,,,,485.4,497,5954
208,int,198,Dolgellian,,age,,,485.4,489.2,5954
321,int,198,Trempealeauan,,age,,,485.4,489.2,5954
312,int,198,Festiniogian,,,,,489.2,493.1,5954
209,int,198,Maentwrogian,,age,,,493.1,497,5954
70,int,198,St Davids,,,,,497,509,5954
71,int,198,Caerfai,,,,,509,538.8,5954
23,int,200,Vendian,,age,,,538.8,635,5954
74,int,200,Karatau,,age,,,800,1100,5954
75,int,200,Yurmatian,,age,,,1100,1375,5954
76,int,200,Burzyan,,age,,,1375,1400,5954
23,int,210,Vendian,,age,,,538.8,635,5954
215,int,210,Poundian,,age,,,538.8,571.7,5954
216,int,210,Wonokan,,age,,,571.7,635,5954
925,int,250,Wanganui,,epoch,,,0,5.333,87917
943,int,250,Haweran,,age,,,0,0.34,87917
944,int,250,Castlecliffian,,age,,,0.34,1.63,87917
945,int,250,Nukumaruan,,age,,,1.63,2.4,87917
946,int,250,Mangapanian,,age,,,2.4,3,87917
947,int,250,Waipipian,,age,,,3,3.7,87917
948,int,250,Opoitian,,age,,,3.7,5.333,87917
926,int,250,Taranaki,,epoch,,,5.333,11.04,87917
949,int,250,Kapitean,,age,,,5.333,7.2,87917
950,int,250,Tongaporutuan,,age,,,7.2,11.04,87917
927,int,250,Southland,,epoch,,,11.04,15.9,87917
951,int,250,Waiauan,,age,,,11.04,13.05,87917
952,int,250,Lillburnian,,age,,,13.05,15.1,87917
953,int,250,Clifdenian,,age,,,15.1,15.9,87917
928,int,250,Pareora,,epoch,,,15.9,21.7,87917
954,int,250,Altonian,,age,,,15.9,18.7,87917
955,int,250,Otaian,,age,,,18.7,21.7,87917
929,int,250,Landon,,epoch,,,21.7,34.6,87917
956,int,250,Waitakian,,age,,,21.7,25.2,87917
957,int,250,Duntroonian,,age,,,25.2,27.3,87917
958,int,250,Whaingaroan,,age,,,27.3,34.6,87917
930,int,250,Arnold,,epoch,,,34.6,42.6,87917
959,int,250,Runangan,,age,,,34.6,36.7,87917
960,int,250,Kaiatan,,age,,,36.7,39.1,87917
961,int,250,Bortonian,,age,,,39.1,42.6,87917
931,int,250,Dannevirke,,epoch,,,42.6,66,87917
962,int,250,Porangan,,age,,,42.6,45.7,87917
963,int,250,Heretaungan,,age,,,45.7,48.9,87917
964,int,250,Mangaorapan,,age,,,48.9,52,87917
965,int,250,Waipawan,,age,,,52,56,87917
966,int,250,Teurian,,age,,,56,66,87917
932,int,250,Mata,,epoch,,,66,86.1,87917
967,int,250,Haumurian,,age,,,66,83.6,87917
968,int,250,Piripauan,,age,,,83.6,86.1,87917
933,int,250,Raukumara,,epoch,,,86.1,95.2,87917
969,int,250,Teratan,,age,,,86.1,90.5,87917
970,int,250,Mangaotanean,,age,,,90.5,93.7,87917
971,int,250,Arowhanan,,age,,,93.7,95.2,87917
934,int,250,Clarence,,epoch,,,95.2,108.4,87917
972,int,250,Ngaterian,,age,,,95.2,99.5,87917
973,int,250,Motuan,,age,,,99.5,103.3,87917
974,int,250,Urutawan,,age,,,103.3,108.4,87917
935,int,250,Taitai,,epoch,,,108.4,145,87917
975,int,250,Korangan,,age,,,108.4,117.5,87917
936,int,251,Oteke,,epoch,,,145,150,87917
976,int,251,Puaroan,,age,,,145,150,87917
937,int,251,Kawhia,,epoch,,,150,176,87917
977,int,251,Ohauan,,age,,,150,154.5,87917
978,int,251,Heterian,,age,,,154.5,164.3,87917
979,int,251,Temaikan,,age,,,164.3,176,87917
938,int,251,Herangi,,epoch,,,176,201.4,87917
980,int,251,Ururoan,,age,,,176,188.9,87917
981,int,251,Aratauran,,age,,,188.9,201.4,87917
939,int,251,Balfour,,epoch,,,201.4,227.5,87917
982,int,251,Otapirian,,age,,,201.4,208.5,87917
983,int,251,Warepan,,age,,,208.5,217,87917
984,int,251,Otamitan,,age,,,217,221,87917
985,int,251,Oretian,,age,,,221,227.5,87917
940,int,251,Gore,,epoch,,,227.5,251.5,87917
986,int,251,Kaihikuan,,age,,,227.5,238,87917
987,int,251,Etalian,,age,,,238,246,87917
988,int,251,Malakovian,,age,,,246,249,87917
989,int,251,Nelsonian,,age,,,249,251.5,87917
941,int,251,DUrville,,epoch,,,251.5,259.51,87917
990,int,251,Makarewan,,age,,,251.5,253.2,87917
991,int,251,Waiitian,,age,,,253.2,254.2,87917
992,int,251,Puruhauan,,age,,,254.2,259.51,87917
942,int,251,Aparima,,epoch,,,259.51,288.5,87917
993,int,251,Flettian,,age,,,259.51,266,87917
994,int,251,Barettian,,age,,,266,276,87917
995,int,251,Mangapirian,,age,,,276,285,87917
996,int,251,Telfordian,,age,,,285,288.5,87917
